time,level,rain,acc_rain
2010010101,1.07,0,0
2010010102,1.07,0,0
2010010103,1.07,0,0
2010010104,1.07,0,0
2010010105,1.07,0,0
2010010106,1.07,0,0
2010010107,1.07,0,0
2010010108,1.06,0,0
2010010109,1.07,0,0
2010010110,1.07,0,0
2010010111,1.07,0,0
2010010112,1.07,0,0
2010010113,1.07,0,0
2010010114,1.07,0,0
2010010115,1.06,0,0
2010010116,1.06,0,0
2010010117,1.06,0,0
2010010118,1.06,0,0
2010010119,1.06,0,0
2010010120,1.06,0,0
2010010121,1.06,0,0
2010010122,1.06,0,0
2010010123,1.06,0,0
2010010124,1.06,0,0
2010010201,1.06,0,0
2010010202,1.07,0,0
2010010203,1.07,0,0
2010010204,1.07,0,0
2010010205,1.06,0,0
2010010206,1.06,0,0
2010010207,1.06,0,0
2010010208,1.07,0,0
2010010209,1.06,0,0
2010010210,1.07,0,0
2010010211,1.06,0,0
2010010212,1.06,0,0
2010010213,1.06,0,0
2010010214,1.06,0,0
2010010215,1.06,0,0
2010010216,1.06,0,0
2010010217,1.06,0,0
2010010218,1.06,0,0
2010010219,1.06,0,0
2010010220,1.06,0,0
2010010221,1.06,0,0
2010010222,1.06,0,0
2010010223,1.06,0,0
2010010224,1.06,0,0
2010010301,1.06,0,0
2010010302,1.06,0,0
2010010303,1.06,0,0
2010010304,1.06,0,0
2010010305,1.06,0,0
2010010306,1.06,0,0
2010010307,1.06,0,0
2010010308,1.06,0,0
2010010309,1.06,0,0
2010010310,1.06,0,0
2010010311,1.06,0,0
2010010312,1.06,0,0
2010010313,1.06,0,0
2010010314,1.06,0,0
2010010315,1.06,0,0
2010010316,1.06,0,0
2010010317,1.06,0,0
2010010318,1.06,0,0
2010010319,1.06,0,0
2010010320,1.06,0,0
2010010321,1.06,0,0
2010010322,1.06,0,0
2010010323,1.06,0,0
2010010324,1.06,0,0
2010010401,1.06,0,0
2010010402,1.06,0,0
2010010403,1.07,0,0
2010010404,1.07,0,0
2010010405,1.07,0,0
2010010406,1.07,0,0
2010010407,1.07,0,0
2010010408,1.07,0,0
2010010409,1.07,0,0
2010010410,1.08,1,1
2010010411,1.08,2,3
2010010412,1.08,1,4
2010010413,1.08,2,6
2010010414,1.08,1,7
2010010415,1.05,0,7
2010010416,1.08,0,7
2010010417,1.08,0,7
2010010418,1.08,0,7
2010010419,1.08,0,7
2010010420,1.07,0,7
2010010421,1.08,0,7
2010010422,1.07,0,7
2010010423,1.08,0,7
2010010424,1.07,0,7
2010010501,1.07,0,7
2010010502,1.07,0,7
2010010503,1.08,0,7
2010010504,1.08,0,7
2010010505,1.07,0,7
2010010506,1.08,0,7
2010010507,1.07,0,7
2010010508,1.07,0,7
2010010509,1.08,0,7
2010010510,1.07,0,7
2010010511,1.07,0,7
2010010512,1.07,0,7
2010010513,1.07,0,7
2010010514,1.07,0,7
2010010515,1.07,0,7
2010010516,1.07,0,7
2010010517,1.07,0,7
2010010518,1.07,0,7
2010010519,1.07,0,7
2010010520,1.07,0,7
2010010521,1.07,0,7
2010010522,1.07,0,7
2010010523,1.07,0,7
2010010524,1.07,0,7
2010010601,1.07,0,7
2010010602,1.07,0,7
2010010603,1.07,0,7
2010010604,1.07,0,7
2010010605,1.07,0,7
2010010606,1.07,0,7
2010010607,1.06,0,7
2010010608,1.06,0,7
2010010609,1.06,0,7
2010010610,1.05,0,7
2010010611,1.05,0,7
2010010612,1.06,0,7
2010010613,1.06,0,7
2010010614,1.08,0,7
2010010615,1.07,0,7
2010010616,1.07,0,7
2010010617,1.07,0,7
2010010618,1.07,0,7
2010010619,1.07,0,7
2010010620,1.07,0,7
2010010621,1.06,0,7
2010010622,1.07,0,7
2010010623,1.07,0,7
2010010624,1.06,0,7
2010010701,1.06,0,7
2010010702,1.07,0,7
2010010703,1.07,0,7
2010010704,1.06,0,7
2010010705,1.07,0,7
2010010706,1.07,0,7
2010010707,1.08,0,7
2010010708,1.09,0,7
2010010709,1.09,0,7
2010010710,1.09,0,7
2010010711,1.09,0,7
2010010712,1.08,0,7
2010010713,1.07,0,7
2010010714,1.07,0,7
2010010715,1.08,0,7
2010010716,1.07,0,7
2010010717,1.07,0,7
2010010718,1.07,0,7
2010010719,1.06,0,7
2010010720,1.06,0,7
2010010721,1.06,0,7
2010010722,1.06,0,7
2010010723,1.07,0,7
2010010724,1.08,0,7
2010010801,1.07,0,7
2010010802,1.08,0,7
2010010803,1.08,0,7
2010010804,1.07,0,7
